74,-7.82,8.79,-9.66,-8.16,-7.52,-8.5,-9.85,4.17,-8.98
100,4.08,-0.29,6.36,4.37,-2.38,-9.66,-0.73,-5.34,8.88
49,99,99,99,99,9.03,9.27,9.03,9.27,99
48,99,8.35,99,99,1.8,8.16,-2.82,6.21,99
91,8.5,4.61,-4.17,-5.39,1.36,1.6,7.04,4.61,-0.44
100,-6.17,-3.54,0.44,-8.5,-7.09,-4.32,-8.69,-0.87,-6.65
47,99,99,99,99,8.59,-9.85,7.72,8.79,99
100,6.84,3.16,9.17,-6.21,-8.16,-1.7,9.27,1.41,-5.19
100,-3.79,-3.54,-9.42,-6.89,-8.74,-0.29,-5.29,-8.93,-7.86
72,3.01,5.15,5.15,3.01,6.41,5.15,8.93,2.52,3.01
36,-2.91,4.08,99,99,-5.73,99,2.48,-5.29,99
100,1.31,1.8,2.57,-2.38,0.73,0.73,-0.97,5,-7.23
47,99,99,99,99,5.87,99,5.58,0.53,99
100,9.22,9.27,9.22,8.3,7.43,0.44,3.5,8.16,5.97
100,8.79,-5.78,6.02,3.69,7.77,-5.83,8.69,8.59,-5.92
100,-3.5,1.55,2.33,-4.13,4.22,-2.28,-2.96,-0.49,2.91
51,99,-9.27,99,99,-7.38,99,8.74,-6.31,99
100,3.16,7.62,3.79,8.25,4.22,7.62,2.43,0.97,0.53
49,4.22,3.64,99,99,2.52,99,4.13,-5.19,99
53,99,7.62,99,99,-8.64,2.43,8.93,-6.6,99
55,2.57,-0.73,99,99,2.57,99,-4.22,2.67,99
50,7.28,5.39,99,99,-4.22,99,8.93,3.5,99
72,2.72,4.17,6.5,-3.54,-3.3,2.86,7.04,4.95,6.17
100,2.09,-7.57,4.17,-8.4,-6.31,5.34,-5.19,-5.05,-8.2
74,-3.93,-1.17,2.28,-0.44,-2.28,2.38,-3.93,4.51,-0.34
67,99,5.49,3.45,99,0.15,4.76,0.1,4.13,8.01
60,99,5.83,99,99,5.34,99,-4.47,2.18,-3.98
72,0.49,0.15,0.15,-9.56,-9.76,-9.61,0.29,1.65,-4.61
54,99,99,99,99,-1.7,99,8.83,-1.89,99
46,99,4.08,99,99,5.87,99,0.44,2.28,99
100,1.94,0.87,1.41,2.96,4.85,3.01,3.83,-4.27,-0.19
54,99,5.68,5.68,99,3.45,99,4.81,-4.27,99
100,1.02,3.2,3.2,2.86,2.38,1.21,0.97,3.2,-1.41
38,99,99,99,99,-1.99,99,-0.19,-4.17,99
100,5.92,-1.65,5.92,5.87,3.06,3.35,2.72,0.1,5.92
41,-9.66,-8.35,99,99,0.29,99,-9.22,-9.51,99
72,7.18,9.17,9.13,3.74,8.69,7.57,-6.12,6.12,5.15
51,-3.69,-1.12,99,99,0.87,99,2.18,-2.91,99
100,2.96,2.96,2.96,2.96,3.74,2.96,3.74,0.78,2.96
47,99,99,99,99,-3.01,99,-3.35,-2.28,99
73,-4.95,-2.86,2.23,-6.65,5.44,0.97,-0.97,-5.97,-8.74
50,99,99,99,99,8.25,99,2.72,0.53,99
46,99,8.3,99,99,6.36,99,-4.51,3.59,99
100,0.15,-3.2,6.46,2.62,-2.91,-4.37,2.04,2.38,-5.05
100,8.79,5.1,5.49,0.92,5.83,7.91,4.51,5.05,7.86
92,7.33,8.35,5.83,-5.58,5.24,-5.97,-8.16,9.08,6.31
73,8.45,3.35,7.77,2.77,1.8,8.88,8.59,-9.85,-8.45
89,-8.25,-1.17,5.1,-0.44,3.79,5.68,-0.53,-8.3,-7.86
71,-5.44,0.68,1.5,3.35,-8.25,3.93,3.3,-1.46,1.46
